"Name","Realms","Set","Types","Text","Archetype","Flavortext","Power","Costs","Rarity","CardID","Elemental","Nature","Void","Mortal","Divine","Cost_Sum","Prompt","Artwork 1","Artwork 2","Artwork 3","Artwork 4","Artwork 5","Artwork 6","Artwork 7","Artwork 8","Artwork 9","Artwork 10"
"Damaged Automaton","Divine","1","Construct Undead","Deploy: Gain Ward.","","Though battered and bruised, even in decay it serves a purpose.","2","D","Common","","","","","","Construct Undead","1","damaged automaton, peaceful, falling apart, sitting in ancient egyptian workshop, using tools, trying to repair itself, ancient mechanical being, sandstone creature, made of stone, historical and mythical art style, colorful","https://alpha.midjourney.com/jobs/3644d9f4-a154-4538-96ea-489d6da10cda?index=2","","","","","","","","",""
"Diviner of Fates","Divine","1","Angel Wizard","Deploy: Gain Ward. You may move an adjacent enemy Unit.","Move","Even the fate of gods is nothing but a game when you can see the future.","3","D, ?, ?","Uncommon","","","","","","Angel Wizard","3","Diviner of fates, female, wearing temple garbs, ancient egyptian, historical and mythical art style, colorful, angel, pondering two magical orbs, mysticism, surrounded by colorful fog, in deep thought","https://alpha.midjourney.com/jobs/9b1cd3ba-f0fb-43df-a5df-aa0555f184e0?index=0","https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=1","https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=3","","","","","","",""
"Doma Angel","Divine","1","Angel Warrior","","","In her shadow, destiny is sealed.","3","D, ?","Common","","","","","","Angel Warrior","2","Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless","https://alpha.midjourney.com/jobs/e10bf9b3-3d4a-458c-b4e9-595c4cddd9bf?index=0","https://alpha.midjourney.com/jobs/bf2b9797-ca47-418b-8b51-f73b166d794e?index=0","","","","","","","",""
"Dove of Serenity","Divine","1","Animal","Whenever a friendly Divine Unit is deployed adjacently, gain +2 Power.","Divine ","Wherever it flutters, peace is sure to follow.","1","D, ?","Common","","","","","","Animal","2","peace dove, historical and mythical art style, colorful, blue sky, calm","https://alpha.midjourney.com/jobs/bd138556-f391-44ec-ab68-5aa4b5a9f606?index=1","","","","","","","","",""
"Dream Traveler","Divine","1","Angel","Deploy: This gains Ward. Crystallize: You may return a friendly Unit to your Hand.","Ramp Copy ","Bounce","2","D, ?, ?","Uncommon","","","","","","Angel","3","Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless","https://alpha.midjourney.com/jobs/1ae58892-c0c7-4cd2-b4f2-61e436a76acb?index=0","","","","","","","","",""
"Embalmed Apophis","Divine","1","Animal Undead","Ambush: Your Opponent conquered this Lane this Turn.","Unearth Aggro ","Roused from ageless dreams, its bindings frayed but its purpose unyielding.","6","D, D, D, ?, ?, ?","Common","","","","","","Animal Undead","6","embalmed Apophis, historical and mythical art style, in bandages, wrapped in bandages, decayed, mummy, ancient egyptian, undead snake","https://alpha.midjourney.com/jobs/13499ec2-9a5a-4595-9ccd-fbcfe0fffeaf?index=0","","","","","","","","",""
"Feline Ushabti","Divine","1","Animal Construct","Crystallize: You may bury this to glimpse 2.","Ramp Control ","In the moonlight, both statue and predator come to life.","2","D, ?","Common","","","","","","Animal Construct","2","feline ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of a cat, ancient egyptian, mystical, magical","https://alpha.midjourney.com/jobs/7b73514c-612c-4f7a-b7b0-8d03ff687646?index=1","","","","","","","","",""
"Guardian Angel","Divine","2","Angel","Deploy: Gain Ward. Start of your Turn: You may bury this to unearth a friendly Unit. It gains Ward.","Unearth Control ","Silent sentry of the skies, shielding the innocent with unseen wings.","4","D, D, ?, ?, ?","Uncommon","","","","","","Angel","5","","","","","","","","","","",""
"Guardian of the Gates","Divine","1","Construct","Ally of Construct: All friendly Construct Units gain +1 Power.","Construct ","Dumb-Dumb, give Gum-Gum!","3","D, D, ?","Common","","","","","","Construct","3","guardian of the gates, green glowing eyes, historical and mythical art style, sandstone statue, ancient egyptian, golem guarding the gate of a city","https://alpha.midjourney.com/jobs/13533eea-4c56-4787-a8d1-5b5de4d2fe40?index=0","","","","","","","","",""
"Hallowed Exorcist","Divine","1","Human Hunter","Deploy: Cleanse an adjacent Unit.","Control ","His chants echo, a cleansing force against the encroaching darkness.","2","D, ?","Common","","","","","","Human Hunter","2","hallowed excorcist, historical and mythical art style, iceblue glowing eyes, summoning incantation, desperate, surrounded by swirling shadows","https://alpha.midjourney.com/jobs/fb9ad282-f768-4726-b79b-f40c11d0277b?index=3","","","","","","","","",""
"Harmonic Echo","Divine","1","Angel Spirit","Ally of Angel: This and an adjacent friendly Unit gain Ward and +1 Power.","Angel ","In its wake, a symphony lingers, resonating with the pulse of the divine.","4","D, D, ?, ?","Uncommon","","","","","","Angel Spirit","4","harmonic echo, historical and mythical art style, serene, peaceful, calm, happy, angel playing harp, ancient greek","https://alpha.midjourney.com/jobs/2fb88f6b-7b37-40f3-9ddf-e46da64b9024?index=2","","","","","","","","",""
"Herald of Eternal Grace","Divine","0","Angel Wizard","Crystallize: Unleash <D><D><D>: Cleanse a Unit or give a Unit Ward.","Ramp Control ","????????","4","D, D, ?, ?, ?","Uncommon","","","","","","Angel Wizard","5","","","","","","","","","","",""
"Ibis Ushabti","Divine","1","Animal Construct","Crystallize: You may bury this to draw a Card.","Ramp Control ","Crafted in reverence, it bridges the realms of past pharaohs and present souls.","3","D, ?, ?","Uncommon","","","","","","Animal Construct","3","ibis ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of an ibis, ancient egyptian, mystical, magical","https://alpha.midjourney.com/jobs/10569df3-af61-474e-9997-08b1211eac4b?index=3","","","","","","","","",""
"Ivoryscar Cursewing","Divine","2","Angel","Crystallize: Draw the top Angel of your Deck. Shuffle your Deck. Put a Card from your Hand under your Deck.","Angel Ramp ","His tainted feathers guide seekers to the forbidden knowledge that one can only find in the equilibrium of extremes. ","4","D, ?, ?","Uncommon","","","","","","Angel","3","","","","","","","","","","",""
"Ivoryscar Magistrate","Divine","2","Angel Warrior","Start of your Turn: You may bury a friendly Angel Unit to bury an adjacent enemy Unit.","Angel Control ","The gavel strikes with the weight of lost souls, his justice as dark as the void.","2","D, D, ?","Uncommon","","","","","","Angel Warrior","3","","","","","","","","","","",""
"Kylix of Excess","Divine","2","Construct Demon","Ascend: Void. Crystallize: Gain Crystalborn. When this ascends, draw two Cards. ","Void Ramp Ascend ","Ascend, Artifact","0","D, D, ?","Uncommon","","","","","","Construct Demon","3","","","","","","","","","","",""
"Maze Master Sphinx","Divine","1","Construct","Deploy: Crystallize the top Construct of your Deck. Shuffle your deck.","Construct Ramp ","Guardian of ancient secrets, it diverts its endless watch with games woven from wisdom and whimsy.","3","D, D, ?, ?","Uncommon","","","","","","Construct","4","maze master sphinx, historical and mythical art style, greenish-blue glowing eyes, sandstone sphinx, ancient egyptian, mystical, magical, in a maze, wise, huge blocks of sandstone levitating around sphinx, ancient age","https://alpha.midjourney.com/jobs/9ccceaff-97a6-4625-9bea-6567b85c04ef?index=0","","","","","","","","",""
"Monolith of Meditation","Divine","2","Angel Construct","Deploy and Conquer: Cleanse a Unit in this Lane.","Control Aggro ","Unmoving and serene, it stands as a testament to the quiet power of thought over turmoil.","4","D, ?, ?, ?, ?, ?","Uncommon","","","","","","Angel Construct","6","","","","","","","","","","",""
"Mystic Puzzle Box","Divine","1","Construct","Crystallize: Draw a Card for each other friendly Construct Crystal.","Construct Ramp ","An enigmatic artifact that ensnares curiosity, rewarding those who unravel its secrets with forbidden knowledge.","6","D, D, ?, ?, ?, ?, ?","Uncommon","","","","","","Construct","7","mystic puzzle box, historical and mythical art style, hazy fog, sandstone, ancient egyptian, mystical, magical, brass, bronze, ancient age, floating in room","https://alpha.midjourney.com/jobs/0cf0be47-c57f-4feb-84e6-1790219ba54b?index=0","","","","","","","","",""
"Oasis Sprite","Divine","1","Angel Plant","Crystallize: Gain Crystalborn. Deploy: Draw a Card.","Ramp ","From her touch, the desert blooms and weary travelers find respite.","2","D, D, ?, ?","Common","","","","","","Angel Plant","4","ancient egyptian oasis plant angel with palm tree wings, historical and mythical art style, colorful, sitting on a chiseled sandstone block at a pond, lush and green palm trees in background, calm, meditating","https://alpha.midjourney.com/jobs/16fb7678-58aa-43f4-976c-6411d373341c?index=1","","","","","","","","",""
"Pharaoh's Bodyguard","Divine","1","Undead Warrior","Ally of Divine: Gain Taunt.","Divine ","He laid down his life once; now he stands guard forever.","2","D","Common","","","","","","Undead Warrior","1","Pharao's bodyguard, historical and mythical art style, ancient egyptian, heavily armored elite guard mummy warrior, ancient age, lapislazuli deathmask, wrapped in bandages, holding a khopesh","https://alpha.midjourney.com/jobs/4e1424fd-a4dd-430d-b5db-da68488eb78a?index=0","","","","","","","","",""
"Pyramidion","Divine","2","Construct","Whenever a friendly Construct is deployed adjacently, all friendly Construct Units in this Lane gain +1 Power.","Construct ","Remote","1","D","Uncommon","","","","","","Construct","1","","","","","","","","","","",""
"Scripture Monkey","Divine","1","Animal","Deploy: Choose one: - Gain +1 Power for each Card in your Hand. - Glimpse 2, then draw a Card.","","Ancient texts become playthings, yet through its eyes, the profound and playful are one.","0","D, D, ?","Rare","","","","","","Animal","3","scripture monkey, historical and mythical art style, monkey writing in an ancient tome","https://alpha.midjourney.com/jobs/3321903a-a303-44ee-8b5d-3487bd693fa9?index=3","","","","","","","","",""
"Sekhem Chariot","Divine","1","Animal Construct","Deploy: If an adjacent enemy Unit has 2 or less Power, draw a Card.","","In the presence of the weak, its wheels spin faster, echoing the merciless pace of the desert sun.","4","D, D, ?, ?","Common","","","","","","Animal Construct","4","sekhem chariot, historical and mythical art style, ancient egyptian war chariot, undead horse, mummy","https://alpha.midjourney.com/jobs/a6b9796b-edf3-4af3-9ed5-c8182508947e?index=1","","","","","","","","",""
"Solarsteel Prodigy","Divine","2","Human","Ascend: Construct or Warrior or Angel. Deploy: Gain +2 Power.","Construct Warrior Angel Ascend ","Ascend","0","D, ?, ?","Common","","","","","","Human","3","","","","","","","","","","",""
"Starforger","Divine","2","Angel Construct","Crystallize: Gain Crystalborn. Glimpse for each friendly Angel Crystal. Deploy: Draw a Card for each friendly Construct Crystal.","Construct Angel Ramp ","His ambition is boundless, aiming to capture the essence of perfection in the canvas of the night sky.","8","D, D, D, ?, ?, ?, ?","Rare","","","","","","Angel Construct","7","","","","","","","","","","",""
"Swiftblade Revenger","Divine","2","Angel Warrior","Whenever an enemy Unit is deployed adjacently, you may move this.","Move","With twin blades dancing like lightning, her vengeance is as swift as it is deadly.","5","D, D, ?, ?, ?","Uncommon","","","","","","Angel Warrior","5","","","","","","","","","","",""
"The Kitty of Thamiel","Divine","2","Animal Spirit","Deploy: If you have 12 or fewer Cards your Deck, gain +4 Power and draw a Card.","","Deck","2","D, ?","Uncommon","","","","","","Animal Spirit","2","","","","","","","","","","",""
"Thunderswarm Pegasus","Divine","1","Angel Animal","","","When the Thunderswarm march, even the skies make way.","4","D, ?, ?, ?","Common","","","","","","Angel Animal","4","thunderswarm pegasus, historical and mythical art style, hafling horse, burning mane, burning hooves, black, gold, ancient norse, at night","https://alpha.midjourney.com/jobs/2892cac4-ecfc-4b4f-a4e9-1eb61a4971a8?index=3","","","","","","","","",""
"Thunderswarm Skirmisher","Divine","1","Angel Hunter","Deploy: Gain Ward. Gain +3 Power if there is an adjacent Demon or Warrior.","Warrior Demon Demon ","Clad in celestial armor, his battle cry echoes like thunder, a fearsome herald of the skies' wrath.","3","D, ?, ?, ?","Uncommon","","","","","","Angel Hunter","4","thunderswarm skirmisher, historical and mythical art style, angel warrior, black, gold, ancient norse, at night, flying, throwing spear","https://alpha.midjourney.com/jobs/1352ae1c-e93b-4eeb-9c2b-8d45efc47f38?index=0","https://alpha.midjourney.com/jobs/e58d0ede-21d0-4b9c-87b3-4745b329f97d?index=0","","","","","","","",""
"Towering Obelisk of Xi","Divine","2","Construct","Ascend: Construct. When this ascends, all friendly Units with Ascend gain +2 Power.","Construct Ascend ","Ascend","3","D, D, ?, ?","Uncommon","","","","","","Construct","4","","","","","","","","","","",""
"Tranquil Herd Gem Titan","Divine","1","Construct Warrior","Deploy: All friendly Divine Units in this Lane gain Ward.","Divine ","Beside him lay a gemstone charm, its arrival as mysterious as the energy it exuded. Puzzled, he held it, feeling an inexplicable sense of safety.","6","D, D, ?, ?, ?, ?","Common","","","","","","Construct Warrior","6","tranquil herd gem titan, historical and mythical art style, giant crystal golem, enormous, towering","https://alpha.midjourney.com/jobs/ed7547f6-59f6-4674-8e51-448f70e1a062?index=1","","","","","","","","",""
"Winged Ushabti","Divine","2","Construct Insect","Crystallize: This Turn, you may bury this to give a friendly Unit Ascend.","Ramp Control Ascend ","Found more insect statuettes, remarkably detailed. Purpose? Unknown, but likely venerating ancient, lost species.","5","D, D, ?, ?, ?","Uncommon","","","","","","Construct Insect","5","","","","","","","","","","",""
"Wrath of the Pharaoh","Divine","1","Construct Spirit","","","From ancient tombs, a fury rises; even kings have their reckoning.","9","D, D, D, ?, ?, ?","Uncommon","","","","","","Construct Spirit","6","sand dune with eyes, living sand dune, amorphous, glowing eyes, rising from the desert, sandstorm--no fire human humanoid","https://alpha.midjourney.com/jobs/557ea44c-dc30-4519-93c0-96caf2f97815?index=3","","","","","","","","",""
"Yellow Crusader","Divine","2","Crusader, Warrior","Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.","","Marked by divine fervor, he fights not for glory but obedience. The celestial demands a weight he cannot shed.","2","D, ?","Common","","","","","","Crusader, Warrior","2","","","","","","","","","","",""
"Young Monk","Divine","2","Human","Deploy: Choose one: - Gain Ascend. - Draw a Card.","Ascend ","From trials, we reach the heavens.","1","D, ?, ?","Common","","","","","","Human","3","","","","","","","","","","",""
"Crimson Flamechick","Divine Elemental","1","Animal Spirit","When this gets buried, bury an adjacent enemy Unit.","Control ","A spark today, an inferno tomorrow; its flame never extinguished, merely reborn.","2","D, E","Uncommon","","Animal Spirit","","","","Animal Spirit","2","crimson flamechick, tiny cute little phoenix, burning wings, small bird, tiny bird--no fire human humanoid","https://alpha.midjourney.com/jobs/0867635b-b993-4e89-adc9-840fac5e98ae?index=2","","","","","","","","",""
"Golden Phoenix","Divine Elemental","2","Animal Spirit","Start of your Turn: You may bury a friendly Crystal to draw a Card.","Control ","Each rebirth a brilliant flame, it embodies the cycle of life's undying light.","7","D, D, E, E, ?","Rare","","Animal Spirit","","","","Animal Spirit","5","","","","","","","","","","",""
"Hailstorm Seraph","Divine Elemental","2","Angel Wizard","Deploy: Unleash <E><E>: Draw Cards until you have 3 Cards in your Hand.","Ramp ","With each beat of her wings, a blizzard is born, cloaking the land in a shroud of white.","4","D, ?, ?, ?","Uncommon","","Angel Wizard","","","","Angel Wizard","4","","","","","","","","","","",""
"Scittering Scorpion","Divine Elemental","0","Animal Hunter","Ambush: This Turn, a Unit was deployed in this Lane. Unearth: You may unearth an adjacent Unit.","Unearth ","The deserter sought refuge in the solitude of the sands, only to find himself the quarry of a malevolence as ancient as the dunes.","4","D, E, ?, ?, ?","Uncommon","","Animal Hunter","","","","Animal Hunter","5","","","","","","","","","","",""
"The Second Wing","Divine Elemental","1","Angel Dragon","Deploy: Each Player shuffles their Hand into the Deck and draws that many Cards.","","When all seems lost, it descends, a majestic force reviving spirits and rewriting destinies.","5","D, D, E, ?, ?","Rare","","Angel Dragon","","","","Angel Dragon","5","four wings, nordic dragon, antlers, gleaming white, glowing corona, ephemeral dragon, feathered wings, white scales, majestic, clinging to a spire high over a roman city, sun rising behind him","https://alpha.midjourney.com/jobs/f92d2267-2cb6-459f-b8f4-07c280426a32?index=2","","","","","","","","",""
"Thunderswarm Celestial","Divine Elemental","1","Angel Bannerbearer Warrior","","","Whenever he flaps his wings, muted thunder rumbles, and soft arcs of electricity dance around his form.","2","D, E","Common","","Angel Bannerbearer Warrior","","","","Angel Bannerbearer Warrior","2","thunderswarm celestial, norse angel, broad shoulders, red beard, from the front","https://alpha.midjourney.com/jobs/496903ec-9e29-4e96-baed-fbc1c72e67a2?index=3","","","","","","","","",""
"Thunderswarm Lightning Rider","Divine Elemental","2","Angel Spirit","Deploy: Gain Ward. Gain +1 Power for each other Spirit in this Lane.","Spirit ","She is the conduit between realms, her wings beating in the rhythm of thunder. Each bolt of lightning, a spirit's final descent, a luminous tribute to lives once lived.","6","D, E, ?, ?, ?","Uncommon","","Angel Spirit","","","","Angel Spirit","5","","","","","","","","","","",""
"Desertwind Relic Hunter","Divine Mortal","2","Human Hunter","Deploy: Unearth a Crystal to give a friendly Unit in this Lane +3 Power.","Unearth ","Beneath the sun's relentless gaze, he realized: some powers were buried for a reason, their containment not loss, but salvation.","3","D, M, ?, ?, ?","Uncommon","","","","","Human Hunter","Human Hunter","5","","","","","","","","","","",""
"Exemplar of Lunar Gleam","Divine Mortal","2","Spirit Warrior","Start of your Turn: You may bury this to draw the top Mortal Card and the top Divine Card from your Deck. Shuffle your Deck.","Divine Mortal Control ","A spectral figure in the pale moonlight, his silent claim to the throne is as enigmatic as the night itself","4","D, M, ?","Rare","","","","","Spirit Warrior","Spirit Warrior","3","","","","","","","","","","",""
"Glowing Gearhulk","Divine Mortal","1","Construct Warrior","Deploy: Gain Taunt. Crystallize: If your Opponent conquered a Lane last Turn, you may deploy this.","Ramp Aggro ","??? Deploy from not-hand ???","4","M, M, ?, ?, ?","Rare","","","","","Construct Warrior","Construct Warrior","5","glowing gearhulk, medieval warmech, mecha, war machine, blue glazed armor, big claws, glowing mist rising from armor joints, mystic, mysterious, in snowed in ruins of an old cathedral, evening, golden hour","https://alpha.midjourney.com/jobs/4efd2e1b-a113-49a0-8b09-a71768bc7f0a?index=1","","","","","","","","",""
"Moon Priestess","Divine Mortal","1","Human Wizard","Deploy: Choose one: - Cleanse a Unit in this Lane. - Unearth a Unit in this Lane and give it +2 Power.","Unearth Control ","Bathed in moonlight, her healing touch mends more than flesh; it soothes the soul.","3","D, M, ?, ?","Uncommon","","","","","Human Wizard","Human Wizard","4","ancient greek moon priestess--no fire human humanoid","https://alpha.midjourney.com/jobs/fe304cba-fe68-4bea-a089-694d2e71a394?index=2","","","","","","","","",""
"Moonspear Paladin","Divine Mortal","1","Bannerbearer Spirit Warrior","","","A stalwart knight with divine blessings, who draws strength and guidance from the moon.","2","D, M","Common","","","","","Bannerbearer Spirit Warrior","Bannerbearer Spirit Warrior","2","moonspear paladin, pull plate armor, blue glazed armor, full helmet, glowing mist rising from armor joints, mystic, mysterious, in snowed in ruins of an old chapel, evening, golden hour, spear, tower-shield","https://alpha.midjourney.com/jobs/4b963210-17ec-4cc9-9a83-f38a7692af0e?index=3","","","","","","","","",""
"Shattercrown Luminary","Divine Mortal","2","Angel Spirit","Deploy: Glimpse 3. You may reveal the top Card of your Deck. If it's a Common Card, draw it.","","From the humblest depths, she reveals unseen potential.","3","D, M, ?, ?","Uncommon","","","","","Angel Spirit","Angel Spirit","4","","","","","","","","","","",""
"Shepard of the Morning Dew","Divine Mortal","2","Angel","Deploy: Gain Taunt. If you are trailing in Lanes, a friendly Human Unit in this Lane gains +3 Power.","Human Control ","Humans, so small yet so vast in spirit, their survival against all odds a testament to their enduring hope. Almost inspiring, in a way.","3","D, M, ?, ?","Uncommon","","","","","Angel","Angel","4","","","","","","","","","","",""
"Arboreal Messenger","Divine Nature","2","Angel Plant","Ally of Angel or Plant: Draw a Card and gain +2 Power.","Plant Angel ","In my slumber, the forest whispered to me, weaving itself into my essence. When I opened my eyes again, I had become more.","3","D, N, ?","Uncommon","","","Angel Plant","","","Angel Plant","3","","","","","","","","","","",""
"Auric Ant Regent","Divine Nature","2","Insect Wizard","Deploy: Gain Taunt. You may return an adjacent friendly Insect Unit to your Hand to gain Power equal to its Power.","Insect Copy ","Insects, Bounce","6","D, N, N, ?, ?, ?","Rare","","","Insect Wizard","","","Insect Wizard","6","","","","","","","","","","",""
"Goat Oracle","Divine Nature","1","Animal Wizard","Deploy: Glimpse equal to the number of Realms of friendly Crystals.","","Oracle of many realms, seer of countless fates, yet inexplicably unsettled by the mere thought of turtles.","3","D, N, ?, ?","Uncommon","","","Animal Wizard","","","Animal Wizard","4","ancient greek goat oracle, animal, on all fours","https://alpha.midjourney.com/jobs/96dd861b-6cf4-403c-b701-35339b8bf72c?index=0","","","","","","","","",""
"Obelisk Waypost","Divine Nature","2","Construct Plant","Start of your Turn: You may bury this to glimpse 2, to crystallize the top Card of your Deck and to draw a Card.","Ramp Control ","Without a guide, the desert is a death sentence.","4","D, N, ?, ?, ?","Uncommon","","","Construct Plant","","","Construct Plant","5","","","","","","","","","","",""
"Sunblessed Crocodile","Divine Nature","1","Animal Dinosaur","Crystallize: Gain Crystalborn. Deploy: Gains +1 Power for each friendly Crystal.","Ramp ","Though tempered by the ages, his radiant might remains unbridled; a true testament of enduring power.","0","D, D, N, N, ?","Rare","","","Animal Dinosaur","","","Animal Dinosaur","5","sunblessed crocodile, white scales, desert, ancient egyptian, golden armor, animal, on all fours, sunbasking, green palmtrees, aggressive","https://alpha.midjourney.com/jobs/85566897-5ef8-42df-8c72-36628a9dd9fc?index=1","","","","","","","","",""
"The Ascended One","Divine Nature","2","Construct Dinosaur","Crystallize: Gain Crystalborn. A friendly Unit gains Ascend this Turn.","Ramp Ascend ","Ascend","5","D, D, N, N, ?, ?","Rare","","","Construct Dinosaur","","","Construct Dinosaur","6","","","","","","","","","","",""
"Tranquil Herd Rubyskull","Divine Nature","2","Dinosaur","Crystallize: Gain Crystalborn. Unleash <D><D> or <N><N>: Crystallize the top Card of your Deck.","Ramp ","Unleash","3","D, N, ?","Uncommon","","","Dinosaur","","","Dinosaur","3","","","","","","","","","","",""
"Tranquil Herd Sagehorn","Divine Nature","1","Bannerbearer Dinosaur Wizard","","","From ancient lands and Crystalline veins, this wise behemoth channels the arcane.","2","D, N","Common","","","Bannerbearer Dinosaur Wizard","","","Bannerbearer Dinosaur Wizard","2","Tranquil Herd Sagehorn, old dinosaur, wise, banner bearer","https://alpha.midjourney.com/jobs/eb74e363-ce23-4333-bf1a-9e45b5410528?index=3","https://alpha.midjourney.com/jobs/ae7c802d-5bb3-4e5c-935f-0989f835981b?index=3","https://alpha.midjourney.com/jobs/d2520d33-6384-48e1-a0ac-2b40bcba9c67?index=2","","","","","","",""
"Blackwing Usurper","Divine Void","2","Human Hunter","Deploy: Gain Taunt. Ritual: Gain 3 Power. Ritual: Draw a Card.","Unearth ","With a noble's grace and a traitor's heart, he delves into the depths of celestial betrayal.","4","D, V, V, ?, ?","Uncommon","","","","Human Hunter","","Human Hunter","5","","","","","","","","","","",""
