Name,Cardtype,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Diviner of Fates,Unit,Divine,1,Angel Wizard,Deploy: Gain Ward. You may move an adjacent enemy Unit.,Even the fate of gods is nothing but a game when you can see the future.,3,"D, ?, ?",Uncommon,"Diviner of fates, female, wearing temple garbs, ancient egyptian, historical and mythical art style, colorful, angel, pondering two magical orbs, mysticism, surrounded by colorful fog, in deep thought",https://alpha.midjourney.com/jobs/9b1cd3ba-f0fb-43df-a5df-aa0555f184e0?index=0,https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=1,https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=3,,,,,,,
Doma Angel,Unit,Divine,1,Angel Warrior,,"In her shadow, destiny is sealed.",3,"D, ?",Common,"Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless",https://alpha.midjourney.com/jobs/e10bf9b3-3d4a-458c-b4e9-595c4cddd9bf?index=0,https://alpha.midjourney.com/jobs/bf2b9797-ca47-418b-8b51-f73b166d794e?index=0,,,,,,,,
Dove of Serenity,Unit,Divine,1,Animal,"Whenever a friendly Divine Unit is deployed adjacently, gain +2 Power.","Wherever it flutters, peace is sure to follow.",1,"D, ?",Common,"peace dove, historical and mythical art style, colorful, blue sky, calm",https://alpha.midjourney.com/jobs/bd138556-f391-44ec-ab68-5aa4b5a9f606?index=1,https://alpha.midjourney.com/jobs/d65c6b1b-db21-491e-899d-20f6d9abe3c1?index=1,,,,,,,,
Dream Traveler,Unit,Divine,1,Angel,Deploy: This gains Ward. Crystallize: You may return a friendly Unit to your Hand.,Bounce,2,"D, ?, ?",Uncommon,"Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless",https://alpha.midjourney.com/jobs/1ae58892-c0c7-4cd2-b4f2-61e436a76acb?index=0,https://alpha.midjourney.com/jobs/768c9afb-3e7b-4ec6-99f0-db80c0855966?index=2,https://alpha.midjourney.com/jobs/0b71f4e0-7de9-422a-8a44-57281918ce47?index=3,,,,,,,
Embalmed Apophis,Unit,Divine,1,Animal Undead,Ambush: Your Opponent conquered this Lane this Turn.,"Roused from ageless dreams, its bindings frayed but its purpose unyielding.",6,"D, D, D, ?, ?, ?",Common,"embalmed Apophis, historical and mythical art style, in bandages, wrapped in bandages, decayed, mummy, ancient egyptian, undead snake",https://alpha.midjourney.com/jobs/13499ec2-9a5a-4595-9ccd-fbcfe0fffeaf?index=0,https://alpha.midjourney.com/jobs/75b3e3a2-a0e4-4742-8659-7ab7d6fcd85e?index=2,https://alpha.midjourney.com/jobs/75b3e3a2-a0e4-4742-8659-7ab7d6fcd85e?index=3,,,,,,,
Feline Ushabti,Unit,Divine,1,Animal Construct,Crystallize: You may bury this to glimpse 2.,"In the moonlight, both statue and predator come to life.",2,"D, ?",Common,"feline ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of a cat, ancient egyptian, mystical, magical",https://alpha.midjourney.com/jobs/7b73514c-612c-4f7a-b7b0-8d03ff687646?index=1,https://alpha.midjourney.com/jobs/7b73514c-612c-4f7a-b7b0-8d03ff687646?index=1,,,,,,,,
Guardian of the Gates,Unit,Divine,1,Construct,Ally of Construct: All friendly Construct Units gain +1 Power.,"Dumb-Dumb, give Gum-Gum!",3,"D, D, ?",Common,"guardian of the gates, green glowing eyes, historical and mythical art style, sandstone statue, ancient egyptian, golem guarding the gate of a city",https://alpha.midjourney.com/jobs/13533eea-4c56-4787-a8d1-5b5de4d2fe40?index=0,https://alpha.midjourney.com/jobs/c0825e6e-8ebc-405d-bb8f-c7b020086e4b?index=3,https://alpha.midjourney.com/jobs/1f3b2140-89fd-46e2-9f9c-02afbe8c91f8?index=1,,,,,,,
Guardian Angel,Unit,Divine,2,Angel,Deploy: Gain Ward. Start of your Turn: You may bury this to unearth a friendly Unit. It gains Ward.,"Silent sentry of the skies, shielding the innocent with unseen wings.",4,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Hallowed Exorcist,Unit,Divine,1,Human Hunter,Deploy: Cleanse an adjacent Unit.,"His chants echo, a cleansing force against the encroaching darkness.",2,"D, ?",Common,"hallowed excorcist, historical and mythical art style, iceblue glowing eyes, summoning incantation, desperate, surrounded by swirling shadows",https://alpha.midjourney.com/jobs/fb9ad282-f768-4726-b79b-f40c11d0277b?index=3,https://alpha.midjourney.com/jobs/fb9ad282-f768-4726-b79b-f40c11d0277b?index=3,,,,,,,,
Harmonic Echo,Unit,Divine,1,Angel Spirit,Ally of Angel: An adjacent friendly Unit gains Ward and +2 Power.,"In its wake, a symphony lingers, resonating with the pulse of the divine.",3,"D, D, ?",Uncommon,"harmonic echo, historical and mythical art style, serene, peaceful, calm, happy, angel playing harp, ancient greek",https://alpha.midjourney.com/jobs/2fb88f6b-7b37-40f3-9ddf-e46da64b9024?index=2,https://alpha.midjourney.com/jobs/2fb88f6b-7b37-40f3-9ddf-e46da64b9024?index=2,,,,,,,,
Ibis Ushabti,Unit,Divine,1,Animal Construct,Crystallize: You may bury this to draw a Card.,"Crafted in reverence, it bridges the realms of past pharaohs and present souls.",3,"D, ?, ?",Uncommon,"ibis ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of an ibis, ancient egyptian, mystical, magical",https://alpha.midjourney.com/jobs/10569df3-af61-474e-9997-08b1211eac4b?index=3,https://alpha.midjourney.com/jobs/10569df3-af61-474e-9997-08b1211eac4b?index=3,,,,,,,,
Herald of Eternal Grace,Unit,Divine,0,Angel Wizard,Crystallize: Unleash <D><D><D>: Cleanse a Unit or give a Unit Ward.,????????,4,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Maze Master Sphinx,Unit,Divine,1,Construct,Deploy: Crystallize the top Construct of your Deck. Shuffle your deck.,"Guardian of ancient secrets, it diverts its endless watch with games woven from wisdom and whimsy.",3,"D, D, ?, ?",Uncommon,"maze master sphinx, historical and mythical art style, greenish-blue glowing eyes, sandstone sphinx, ancient egyptian, mystical, magical, in a maze, wise, huge blocks of sandstone levitating around sphinx, ancient age",https://alpha.midjourney.com/jobs/9ccceaff-97a6-4625-9bea-6567b85c04ef?index=0,https://alpha.midjourney.com/jobs/9ccceaff-97a6-4625-9bea-6567b85c04ef?index=0,,,,,,,,
Ivoryscar Cursewing,Unit,Divine,2,Angel,Crystallize: Draw the top Angel of your Deck. Shuffle your Deck. Put a Card from your Hand under your Deck.,His tainted feathers guide seekers to the forbidden knowledge that one can only find in the equilibrium of extremes. ,4,"D, ?, ?",Uncommon,,,,,,,,,,,
Ivoryscar Magistrate,Unit,Divine,2,Angel Warrior,Start of your Turn: You may bury a friendly Angel Unit to bury an adjacent enemy Unit.,"The gavel strikes with the weight of lost souls, his justice as dark as the void.",2,"D, D, ?",Uncommon,,,,,,,,,,,
Kylix of Excess,Unit,Divine,2,Construct Demon,"Ascend: Void. Crystallize: Gain Crystalborn. When this ascends, draw two Cards. ","Ascend, Artifact",0,"D, D, ?",Uncommon,,,,,,,,,,,
Mystic Puzzle Box,Unit,Divine,1,Construct,Crystallize: Unleash <D><D><D>: Draw a Card for each other friendly Construct Crystal.,"An enigmatic artifact that ensnares curiosity, rewarding those who unravel its secrets with forbidden knowledge.",6,"D, D, ?, ?, ?, ?, ?",Uncommon,"mystic puzzle box, historical and mythical art style, hazy fog, sandstone, ancient egyptian, mystical, magical, brass, bronze, ancient age, floating in room",https://alpha.midjourney.com/jobs/0cf0be47-c57f-4feb-84e6-1790219ba54b?index=0,https://alpha.midjourney.com/jobs/0cf0be47-c57f-4feb-84e6-1790219ba54b?index=0,,,,,,,,
Monolith of Meditation,Unit,Divine,2,Angel Construct,Deploy and Conquer: Cleanse a Unit in this Lane.,"Unmoving and serene, it stands as a testament to the quiet power of thought over turmoil.",4,"D, ?, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Oasis Sprite,Unit,Divine,1,Angel Plant,Crystallize: Gain Crystalborn. Deploy: Draw a Card.,"From her touch, the desert blooms and weary travelers find respite.",2,"D, D, ?, ?",Common,"ancient egyptian oasis plant angel with palm tree wings, historical and mythical art style, colorful, sitting on a chiseled sandstone block at a pond, lush and green palm trees in background, calm, meditating",https://alpha.midjourney.com/jobs/16fb7678-58aa-43f4-976c-6411d373341c?index=1,https://alpha.midjourney.com/jobs/16fb7678-58aa-43f4-976c-6411d373341c?index=1,,,,,,,,
Pharaoh's Bodyguard,Unit,Divine,1,Undead Warrior,Ally of Divine: Gain Taunt.,He laid down his life once; now he stands guard forever.,2,D,Common,"Pharao's bodyguard, historical and mythical art style, ancient egyptian, heavily armored elite guard mummy warrior, ancient age, lapislazuli deathmask, wrapped in bandages, holding a khopesh",https://alpha.midjourney.com/jobs/4e1424fd-a4dd-430d-b5db-da68488eb78a?index=0,https://alpha.midjourney.com/jobs/4e1424fd-a4dd-430d-b5db-da68488eb78a?index=0,,,,,,,,
Scripture Monkey,Unit,Divine,1,Animal,"Deploy: Choose one: - Gain +1 Power for each Card in your Hand. - Glimpse 2, then draw a Card.","Ancient texts become playthings, yet through its eyes, the profound and playful are one.",0,"D, D, ?",Rare,"scripture monkey, historical and mythical art style, monkey writing in an ancient tome",https://alpha.midjourney.com/jobs/3321903a-a303-44ee-8b5d-3487bd693fa9?index=3,https://alpha.midjourney.com/jobs/3321903a-a303-44ee-8b5d-3487bd693fa9?index=3,,,,,,,,
Pyramidion,Unit,Divine,2,Construct,"Whenever a friendly Construct is deployed adjacently, all friendly Construct Units in this Lane gain +1 Power.",Remote,1,D,Uncommon,,,,,,,,,,,
Sekhem Chariot,Unit,Divine,1,Animal Construct,"Deploy: If an adjacent enemy Unit has 2 or less Power, draw a Card.","In the presence of the weak, its wheels spin faster, echoing the merciless pace of the desert sun.",3,"D, D, ?",Common,"sekhem chariot, historical and mythical art style, ancient egyptian war chariot, undead horse, mummy",https://alpha.midjourney.com/jobs/a6b9796b-edf3-4af3-9ed5-c8182508947e?index=1,https://alpha.midjourney.com/jobs/a6b9796b-edf3-4af3-9ed5-c8182508947e?index=1,,,,,,,,
Obsidian Scarab,Unit,Divine,1,Construct Insect,,"Born from the darkest sands, its shell holds the secrets of eternity.",3,D,Uncommon,"obsidian scarab crawling around, huge, giant, towering ruins, ancient egypt",https://alpha.midjourney.com/jobs/5742c34c-4780-42a9-88f6-56a1b9ce53f4?index=0,https://alpha.midjourney.com/jobs/8b38cf8f-f197-4c3a-befd-e184edaf89b1?index=1,https://alpha.midjourney.com/jobs/05eda290-6a12-4283-8598-0203ce13dc18?index=0,https://alpha.midjourney.com/jobs/355d3553-313f-4638-bf69-02b34f653fae?index=2,https://alpha.midjourney.com/jobs/3be1dd1a-b5e1-4576-84ea-2c53a6c076e3?index=1,,,,,
Solarsteel Prodigy,Unit,Divine,2,Human,Ascend: Construct or Warrior or Angel. Deploy: Gain +2 Power.,Ascend,0,"D, ?, ?",Common,,,,,,,,,,,
Starforger,Unit,Divine,2,Angel Construct,Crystallize: Gain Crystalborn. Glimpse for each friendly Angel Crystal. Deploy: Draw a Card for each friendly Construct Crystal.,"His ambition is boundless, aiming to capture the essence of perfection in the canvas of the night sky.",8,"D, D, D, ?, ?, ?, ?",Rare,,,,,,,,,,,
Swiftblade Revenger,Unit,Divine,2,Angel Warrior,"Whenever an enemy Unit is deployed adjacently, you may move this.","With twin blades dancing like lightning, her vengeance is as swift as it is deadly.",5,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
The Kitty of Thamiel,Unit,Divine,2,Animal Spirit,"Deploy: If you have 12 or fewer Cards your Deck, gain +4 Power and draw a Card.",Deck,2,"D, ?",Uncommon,,,,,,,,,,,
Thunderswarm Skirmisher,Unit,Divine,1,Angel Hunter,Deploy: Gain Ward. Gain +3 Power if there is an adjacent Demon or Warrior.,"Clad in celestial armor, his battle cry echoes like thunder, a fearsome herald of the skies' wrath.",3,"D, ?, ?, ?",Uncommon,"thunderswarm skirmisher, historical and mythical art style, angel warrior, black, gold, ancient norse, at night, flying, throwing spear",https://alpha.midjourney.com/jobs/1352ae1c-e93b-4eeb-9c2b-8d45efc47f38?index=0,https://alpha.midjourney.com/jobs/e58d0ede-21d0-4b9c-87b3-4745b329f97d?index=0,,,,,,,,
Tranquil Herd Gem Titan,Unit,Divine,1,Construct Warrior,Deploy: All friendly Divine Units in this Lane gain Ward.,"Beside him lay a gemstone charm, its arrival as mysterious as the energy it exuded. Puzzled, he held it, feeling an inexplicable sense of safety.",6,"D, D, ?, ?, ?, ?",Common,"tranquil herd gem titan, historical and mythical art style, giant crystal golem, enormous, towering",https://alpha.midjourney.com/jobs/ed7547f6-59f6-4674-8e51-448f70e1a062?index=1,https://alpha.midjourney.com/jobs/ed7547f6-59f6-4674-8e51-448f70e1a062?index=1,,,,,,,,
Towering Obelisk of Xi,Unit,Divine,2,Construct,"Ascend: Construct. When this ascends, all friendly Units with Ascend gain +2 Power.",Ascend,3,"D, D, ?, ?",Uncommon,,,,,,,,,,,
Thunderswarm Pegasus,Unit,Divine,1,Angel Animal,,"When the Thunderswarm march, even the skies make way.",4,"D, ?, ?, ?",Common,"thunderswarm pegasus, historical and mythical art style, hafling horse, burning mane, burning hooves, black, gold, ancient norse, at night",https://alpha.midjourney.com/jobs/2892cac4-ecfc-4b4f-a4e9-1eb61a4971a8?index=3,https://alpha.midjourney.com/jobs/2892cac4-ecfc-4b4f-a4e9-1eb61a4971a8?index=3,,,,,,,,
Winged Ushabti,Unit,Divine,2,Construct Insect,"Crystallize: This Turn, you may bury this to give a friendly Unit Ascend.","Found more insect statuettes, remarkably detailed. Purpose? Unknown, but likely venerating ancient, lost species.",5,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Ghostfire Basilisk,Unit,Divine,1,Dragon Undead,,"Guardian of the necropolis, its ghostly flames protect the gates against the unworthy.",5,"D, ?, ?, ?, ?",Common,"ancient egyptian ghostfire, ghastly pale almost white blueish flames, basilisk",https://alpha.midjourney.com/jobs/1f07f7a9-7dee-4e5f-8dfa-56eb67811678?index=1,https://alpha.midjourney.com/jobs/f5a139c0-a525-4c1e-bbb2-3223e6e61d34?index=1,https://alpha.midjourney.com/jobs/5d379442-c2b3-4a53-bf98-52967fbf33ff?index=2,,,,,,,
Yellow Crusader,Unit,Divine,2,"Crusader, Warrior","Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.","Marked by divine fervor, he fights not for glory but obedience. The celestial demands a weight he cannot shed.",2,"D, ?",Common,,,,,,,,,,,
Young Monk,Unit,Divine,2,Human,Deploy: Choose one: - Gain Ascend. - Draw a Card.,"From trials, we reach the heavens.",1,"D, ?, ?",Common,,,,,,,,,,,
Cartouche Luster,Unit,Divine,1,"Angel, Animal",Deploy: Swap an adjacent Unit with a friendly Angel or Animal.,"Its plumes hold the hues of a long-lost dynasty, vibrant against the desert sun.",4,"D, D, ?, ?, ?",Rare,a peacock with hieroglyphs on its plumes,https://alpha.midjourney.com/jobs/fa7a583a-51b9-43f5-9f36-daa60a265ff8?index=3,https://alpha.midjourney.com/jobs/b573d44e-0557-4339-97e3-b8d53f088bb2?index=2,https://alpha.midjourney.com/jobs/3a376b78-f9ae-4d1a-8c49-205760b6d15d?index=3,,,,,,,
Golden Phoenix,Unit,Divine Elemental,2,Animal Spirit,Start of your Turn: You may bury a friendly Crystal to draw a Card.,"Each rebirth a brilliant flame, it embodies the cycle of life's undying light.",7,"D, D, E, E, ?",Rare,,,,,,,,,,,
Hailstorm Seraph,Unit,Divine Elemental,2,Angel Wizard,Deploy: Unleash <E><E>: Draw Cards until you have 3 Cards in your Hand.,"With each beat of her wings, a blizzard is born, cloaking the land in a shroud of white.",4,"D, ?, ?, ?",Uncommon,,,,,,,,,,,
Scittering Scorpion,Unit,Divine Elemental,0,Animal Hunter,"Ambush: This Turn, a Unit was deployed in this Lane. Unearth: You may unearth an adjacent Unit.","The deserter sought refuge in the solitude of the sands, only to find himself the quarry of a malevolence as ancient as the dunes.",4,"D, E, ?, ?, ?",Uncommon,,,,,,,,,,,
Wrath of the Pharaoh,Unit,Divine,1,Construct Spirit,,"From ancient tombs, a fury rises; even kings have their reckoning.",9,"D, D, D, ?, ?, ?",Uncommon,"sand dune with eyes, living sand dune, amorphous, glowing eyes, rising from the desert, sandstorm--no fire human humanoid",https://alpha.midjourney.com/jobs/557ea44c-dc30-4519-93c0-96caf2f97815?index=3,https://alpha.midjourney.com/jobs/557ea44c-dc30-4519-93c0-96caf2f97815?index=3,,,,,,,,
Bringer of Good News,Unit,Divine,1,Angel Insect,"Whenever a Unit moves or swaps, gain +2 Power. Ally of Insect: You may move an adjacent friendly Unit.",,1,"D, ?",Rare,angel insect,https://alpha.midjourney.com/jobs/c566f85c-bca2-4a6a-af88-429b68373805?index=1,https://alpha.midjourney.com/jobs/8f074377-71a1-4d5f-9d10-01c479d07ccc?index=0,https://alpha.midjourney.com/jobs/8147c740-16d7-4def-a4f6-8bced1357e9e?index=2,,,,,,,
Thunderswarm Lightning Rider,Unit,Divine Elemental,2,Angel Spirit,Deploy: Gain Ward. Gain +1 Power for each other Spirit in this Lane.,"She is the conduit between realms, her wings beating in the rhythm of thunder. Each bolt of lightning, a spirit's final descent, a luminous tribute to lives once lived.",6,"D, E, ?, ?, ?",Uncommon,,,,,,,,,,,
Desertwind Relic Hunter,Unit,Divine Mortal,2,Human Hunter,Deploy: Unearth a Crystal to give a friendly Unit in this Lane +3 Power.,"Beneath the sun's relentless gaze, he realized: some powers were buried for a reason, their containment not loss, but salvation.",3,"D, M, ?, ?, ?",Uncommon,,,,,,,,,,,
Exemplar of Lunar Gleam,Unit,Divine Mortal,2,Spirit Warrior,Start of your Turn: You may bury this to draw the top Mortal Card and the top Divine Card from your Deck. Shuffle your Deck.,"A spectral figure in the pale moonlight, his silent claim to the throne is as enigmatic as the night itself",4,"D, M, ?",Rare,,,,,,,,,,,
Pomegrake,Unit,Divine,1,Dragon Plant,,"Amongst the twisting vines, it slinks rustling leaves, for not all fruits are meant for picking.",1,D,Common,"a living pomegranate with leathery wings and scales, it has legs and claws and a head shaped like a pomegranate",https://alpha.midjourney.com/jobs/c4d3570a-e402-453c-89c3-0ec343f16195?index=2,https://alpha.midjourney.com/jobs/dc24ed1d-b615-4b1e-b267-7f9c968a5009?index=3,https://alpha.midjourney.com/jobs/607d3715-7a67-41f3-8adc-52d5a2d49f3d?index=3,https://cdn.midjourney.com/291d605d-4f95-4a9f-b440-6e175d80ac0b/0_0.png,,,,,,
The Embalmer,Unit,Divine,1,Human Wizard,Ally of Angel: Unearth a Unit and give it Ward. Ally of Demon: Bury an adjacent Unit.,,2,"D, D, D, ?",Rare,"ancient egyptian, embalmer, ceremony",https://alpha.midjourney.com/jobs/3502aca4-3c2d-4b55-b9ef-88af2e7c73f0?index=1,https://alpha.midjourney.com/jobs/70636fbb-6ca1-461f-8634-ae71c0b1430c?index=3,,,,,,,,
Ushabti Carver,Unit,Divine,1,Human Undead,"Deploy: Cards in your hand gain ""Crystallize: You may bury this to draw 2 Cards."" until end of turn.",,3,"D, D, ?",Rare,"ancient egyptian, carver artisan, artists workshop, hammer and chisel, sandstone animal ushabti scultures, fantasy artwork",https://alpha.midjourney.com/jobs/7028da84-9831-4d23-ad07-4594391e79ac?index=1,https://alpha.midjourney.com/jobs/d3cdc07b-ef61-4628-9359-bac5561cb0d5?index=2,,,,,,,,
Shattercrown Luminary,Unit,Divine Mortal,2,Angel Spirit,"Deploy: Glimpse 3. You may reveal the top Card of your Deck. If it's a Common Card, draw it.","From the humblest depths, she reveals unseen potential.",3,"D, M, ?, ?",Uncommon,,,,,,,,,,,
Shepard of the Morning Dew,Unit,Divine Mortal,2,Angel,"Deploy: Gain Taunt. If you are trailing in Lanes, a friendly Human Unit in this Lane gains +3 Power.","Humans, so small yet so vast in spirit, their survival against all odds a testament to their enduring hope. Almost inspiring, in a way.",3,"D, M, ?, ?",Uncommon,,,,,,,,,,,
Arboreal Messenger,Unit,Divine Nature,2,Angel Plant,Ally of Angel or Plant: Draw a Card and gain +2 Power.,"In my slumber, the forest whispered to me, weaving itself into my essence. When I opened my eyes again, I had become more.",3,"D, N, ?",Uncommon,,,,,,,,,,,
Auric Ant Regent,Unit,Divine Nature,2,Insect Wizard,Deploy: Gain Taunt. You may return an adjacent friendly Insect Unit to your Hand to gain Power equal to its Power.,"Insects, Bounce",6,"D, N, N, ?, ?, ?",Rare,,,,,,,,,,,
Blessing Bestower,Unit,Divine,1,Angel Wizard,Deploy: Glimpse 2.,,2,"D, D",Common,"angel wizard, ancient greek oracle, haze smoke, da good zaza",https://alpha.midjourney.com/jobs/0575ffc7-0d1e-4dbd-8930-6db80d75cf66?index=1,https://alpha.midjourney.com/jobs/f1f5bcbb-0fd2-48bf-ae02-5559442c4175?index=0,https://alpha.midjourney.com/jobs/d196e34f-0ec6-430c-8497-df7339d2a1b3?index=0,,,,,,,
Obelisk Waypost,Unit,Divine Nature,2,Construct Plant,"Start of your Turn: You may bury this to glimpse 2, to crystallize the top Card of your Deck and to draw a Card.","Without a guide, the desert is a death sentence.",4,"D, N, ?, ?, ?",Uncommon,,,,,,,,,,,
Crimson Flamechick,Unit,Divine Elemental,1,Animal Spirit,Bury: bury an adjacent enemy Unit.,"A spark today, an inferno tomorrow; its flame never extinguished, merely reborn.",2,"D, E",Uncommon,"crimson flamechick, tiny cute little phoenix, burning wings, small bird, tiny bird--no fire human humanoid",https://alpha.midjourney.com/jobs/0867635b-b993-4e89-adc9-840fac5e98ae?index=2,https://alpha.midjourney.com/jobs/0867635b-b993-4e89-adc9-840fac5e98ae?index=2,,,,,,,,
The Ascended One,Unit,Divine Nature,2,Construct Dinosaur,Crystallize: Gain Crystalborn. A friendly Unit gains Ascend this Turn.,Ascend,5,"D, D, N, N, ?, ?",Rare,,,,,,,,,,,
Tranquil Herd Rubyskull,Unit,Divine Nature,2,Dinosaur,Crystallize: Gain Crystalborn. Unleash <D><D> or <N><N>: Crystallize the top Card of your Deck.,Unleash,3,"D, N, ?",Uncommon,,,,,,,,,,,
Blackwing Usurper,Unit,Divine Void,2,Human Hunter,Deploy: Gain Taunt. Ritual: Gain 3 Power. Ritual: Draw a Card.,"With a noble's grace and a traitor's heart, he delves into the depths of celestial betrayal.",4,"D, V, V, ?, ?",Uncommon,,,,,,,,,,,
