Name,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Embalmed Apophis,Divine,1,Animal Undead,Ambush: Your Opponent conquered this Lane this Turn.,"Roused from ageless dreams, its bindings frayed but its purpose unyielding.",6,"D, D, D, ?, ?, ?",Common,"embalmed Apophis, historical and mythical art style, in bandages, wrapped in bandages, decayed, mummy, ancient egyptian, undead snake",https://alpha.midjourney.com/jobs/13499ec2-9a5a-4595-9ccd-fbcfe0fffeaf?index=0,,,,,,,,,
Feline Ushabti,Divine,1,Animal Construct,Crystallize: You may bury this to glimpse 2.,"In the moonlight, both statue and predator come to life.",2,"D, ?",Common,"feline ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of a cat, ancient egyptian, mystical, magical",https://alpha.midjourney.com/jobs/7b73514c-612c-4f7a-b7b0-8d03ff687646?index=1,,,,,,,,,
Guardian of the Gates,Divine,1,Construct,Ally of Construct: All friendly Construct Units gain +1 Power.,"Dumb-Dumb, give Gum-Gum!",3,"D, D, ?",Common,"guardian of the gates, green glowing eyes, historical and mythical art style, sandstone statue, ancient egyptian, golem guarding the gate of a city",https://alpha.midjourney.com/jobs/13533eea-4c56-4787-a8d1-5b5de4d2fe40?index=0,,,,,,,,,
Guardian Angel,Divine,2,Angel,Deploy: Gain Ward. Start of your Turn: You may bury this to unearth a friendly Unit. It gains Ward.,"Silent sentry of the skies, shielding the innocent with unseen wings.",4,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Hallowed Exorcist,Divine,1,Human Hunter,Deploy: Cleanse an adjacent Unit.,"His chants echo, a cleansing force against the encroaching darkness.",2,"D, ?",Common,"hallowed excorcist, historical and mythical art style, iceblue glowing eyes, summoning incantation, desperate, surrounded by swirling shadows",https://alpha.midjourney.com/jobs/fb9ad282-f768-4726-b79b-f40c11d0277b?index=3,,,,,,,,,
Harmonic Echo,Divine,1,Angel Spirit,Ally of Angel: This and an adjacent friendly Unit gain Ward and +1 Power.,"In its wake, a symphony lingers, resonating with the pulse of the divine.",4,"D, D, ?, ?",Uncommon,"harmonic echo, historical and mythical art style, serene, peaceful, calm, happy, angel playing harp, ancient greek",https://alpha.midjourney.com/jobs/2fb88f6b-7b37-40f3-9ddf-e46da64b9024?index=2,,,,,,,,,
Ibis Ushabti,Divine,1,Animal Construct,Crystallize: You may bury this to draw a Card.,"Crafted in reverence, it bridges the realms of past pharaohs and present souls.",3,"D, ?, ?",Uncommon,"ibis ushabti, historical and mythical art style, iceblue glowing eyes, little sandstone statue of an ibis, ancient egyptian, mystical, magical",https://alpha.midjourney.com/jobs/10569df3-af61-474e-9997-08b1211eac4b?index=3,,,,,,,,,
Herald of Eternal Grace,Divine,0,Angel Wizard,Crystallize: Unleash <D><D><D>: Cleanse a Unit or give a Unit Ward.,????????,4,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Maze Master Sphinx,Divine,1,Construct,Deploy: Crystallize the top Construct of your Deck. Shuffle your deck.,"Guardian of ancient secrets, it diverts its endless watch with games woven from wisdom and whimsy.",3,"D, D, ?, ?",Uncommon,"maze master sphinx, historical and mythical art style, greenish-blue glowing eyes, sandstone sphinx, ancient egyptian, mystical, magical, in a maze, wise, huge blocks of sandstone levitating around sphinx, ancient age",https://alpha.midjourney.com/jobs/9ccceaff-97a6-4625-9bea-6567b85c04ef?index=0,,,,,,,,,
Ivoryscar Cursewing,Divine,2,Angel,Crystallize: Draw the top Angel of your Deck. Shuffle your Deck. Put a Card from your Hand under your Deck.,His tainted feathers guide seekers to the forbidden knowledge that one can only find in the equilibrium of extremes. ,4,"D, ?, ?",Uncommon,,,,,,,,,,,
Ivoryscar Magistrate,Divine,2,Angel Warrior,Start of your Turn: You may bury a friendly Angel Unit to bury an adjacent enemy Unit.,"The gavel strikes with the weight of lost souls, his justice as dark as the void.",2,"D, D, ?",Uncommon,,,,,,,,,,,
Kylix of Excess,Divine,2,Construct Demon,"Ascend: Void. Crystallize: Gain Crystalborn. When this ascends, draw two Cards. ","Ascend, Artifact",0,"D, D, ?",Uncommon,,,,,,,,,,,
Mystic Puzzle Box,Divine,1,Construct,Crystallize: Draw a Card for each other friendly Construct Crystal.,"An enigmatic artifact that ensnares curiosity, rewarding those who unravel its secrets with forbidden knowledge.",6,"D, D, ?, ?, ?, ?, ?",Uncommon,"mystic puzzle box, historical and mythical art style, hazy fog, sandstone, ancient egyptian, mystical, magical, brass, bronze, ancient age, floating in room",https://alpha.midjourney.com/jobs/0cf0be47-c57f-4feb-84e6-1790219ba54b?index=0,,,,,,,,,
Monolith of Meditation,Divine,2,Angel Construct,Deploy and Conquer: Cleanse a Unit in this Lane.,"Unmoving and serene, it stands as a testament to the quiet power of thought over turmoil.",4,"D, ?, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Oasis Sprite,Divine,1,Angel Plant,Crystallize: Gain Crystalborn. Deploy: Draw a Card.,"From her touch, the desert blooms and weary travelers find respite.",2,"D, D, ?, ?",Common,"ancient egyptian oasis plant angel with palm tree wings, historical and mythical art style, colorful, sitting on a chiseled sandstone block at a pond, lush and green palm trees in background, calm, meditating",https://alpha.midjourney.com/jobs/16fb7678-58aa-43f4-976c-6411d373341c?index=1,,,,,,,,,
Pharaoh's Bodyguard,Divine,1,Undead Warrior,Ally of Divine: Gain Taunt.,He laid down his life once; now he stands guard forever.,2,D,Common,"Pharao's bodyguard, historical and mythical art style, ancient egyptian, heavily armored elite guard mummy warrior, ancient age, lapislazuli deathmask, wrapped in bandages, holding a khopesh",https://alpha.midjourney.com/jobs/4e1424fd-a4dd-430d-b5db-da68488eb78a?index=0,,,,,,,,,
Scripture Monkey,Divine,1,Animal,"Deploy: Choose one: - Gain +1 Power for each Card in your Hand. - Glimpse 2, then draw a Card.","Ancient texts become playthings, yet through its eyes, the profound and playful are one.",0,"D, D, ?",Rare,"scripture monkey, historical and mythical art style, monkey writing in an ancient tome",https://alpha.midjourney.com/jobs/3321903a-a303-44ee-8b5d-3487bd693fa9?index=3,,,,,,,,,
Pyramidion,Divine,2,Construct,"Whenever a friendly Construct is deployed adjacently, all friendly Construct Units in this Lane gain +1 Power.",Remote,1,D,Uncommon,,,,,,,,,,,
Sekhem Chariot,Divine,1,Animal Construct,"Deploy: If an adjacent enemy Unit has 2 or less Power, draw a Card.","In the presence of the weak, its wheels spin faster, echoing the merciless pace of the desert sun.",4,"D, D, ?, ?",Common,"sekhem chariot, historical and mythical art style, ancient egyptian war chariot, undead horse, mummy",https://alpha.midjourney.com/jobs/a6b9796b-edf3-4af3-9ed5-c8182508947e?index=1,,,,,,,,,
Obsidian Scarab,Divine,1,Construct Insect,,"Born from the darkest sands, its shell holds the secrets of eternity.",3,D,Uncommon,"obsidian scarab crawling around, huge, giant, towering ruins, ancient egypt",https://alpha.midjourney.com/jobs/5742c34c-4780-42a9-88f6-56a1b9ce53f4?index=0,https://alpha.midjourney.com/jobs/8b38cf8f-f197-4c3a-befd-e184edaf89b1?index=1,https://alpha.midjourney.com/jobs/05eda290-6a12-4283-8598-0203ce13dc18?index=0,https://alpha.midjourney.com/jobs/355d3553-313f-4638-bf69-02b34f653fae?index=2,https://alpha.midjourney.com/jobs/3be1dd1a-b5e1-4576-84ea-2c53a6c076e3?index=1,,,,,
Solarsteel Prodigy,Divine,2,Human,Ascend: Construct or Warrior or Angel. Deploy: Gain +2 Power.,Ascend,0,"D, ?, ?",Common,,,,,,,,,,,
Starforger,Divine,2,Angel Construct,Crystallize: Gain Crystalborn. Glimpse for each friendly Angel Crystal. Deploy: Draw a Card for each friendly Construct Crystal.,"His ambition is boundless, aiming to capture the essence of perfection in the canvas of the night sky.",8,"D, D, D, ?, ?, ?, ?",Rare,,,,,,,,,,,
Swiftblade Revenger,Divine,2,Angel Warrior,"Whenever an enemy Unit is deployed adjacently, you may move this.","With twin blades dancing like lightning, her vengeance is as swift as it is deadly.",5,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
The Kitty of Thamiel,Divine,2,Animal Spirit,"Deploy: If you have 12 or fewer Cards your Deck, gain +4 Power and draw a Card.",Deck,2,"D, ?",Uncommon,,,,,,,,,,,
Thunderswarm Skirmisher,Divine,1,Angel Hunter,Deploy: Gain Ward. Gain +3 Power if there is an adjacent Demon or Warrior.,"Clad in celestial armor, his battle cry echoes like thunder, a fearsome herald of the skies' wrath.",3,"D, ?, ?, ?",Uncommon,"thunderswarm skirmisher, historical and mythical art style, angel warrior, black, gold, ancient norse, at night, flying, throwing spear",https://alpha.midjourney.com/jobs/1352ae1c-e93b-4eeb-9c2b-8d45efc47f38?index=0,https://alpha.midjourney.com/jobs/e58d0ede-21d0-4b9c-87b3-4745b329f97d?index=0,,,,,,,,
Tranquil Herd Gem Titan,Divine,1,Construct Warrior,Deploy: All friendly Divine Units in this Lane gain Ward.,"Beside him lay a gemstone charm, its arrival as mysterious as the energy it exuded. Puzzled, he held it, feeling an inexplicable sense of safety.",6,"D, D, ?, ?, ?, ?",Common,"tranquil herd gem titan, historical and mythical art style, giant crystal golem, enormous, towering",https://alpha.midjourney.com/jobs/ed7547f6-59f6-4674-8e51-448f70e1a062?index=1,,,,,,,,,
Towering Obelisk of Xi,Divine,2,Construct,"Ascend: Construct. When this ascends, all friendly Units with Ascend gain +2 Power.",Ascend,3,"D, D, ?, ?",Uncommon,,,,,,,,,,,
Thunderswarm Pegasus,Divine,1,Angel Animal,,"When the Thunderswarm march, even the skies make way.",4,"D, ?, ?, ?",Common,"thunderswarm pegasus, historical and mythical art style, hafling horse, burning mane, burning hooves, black, gold, ancient norse, at night",https://alpha.midjourney.com/jobs/2892cac4-ecfc-4b4f-a4e9-1eb61a4971a8?index=3,,,,,,,,,
Winged Ushabti,Divine,2,Construct Insect,"Crystallize: This Turn, you may bury this to give a friendly Unit Ascend.","Found more insect statuettes, remarkably detailed. Purpose? Unknown, but likely venerating ancient, lost species.",5,"D, D, ?, ?, ?",Uncommon,,,,,,,,,,,
Ghostfire Basilisk,Divine,1,Dragon Undead,,,5,"D, ?, ?, ?, ?",Common,,,,,,,,,,,
Yellow Crusader,Divine,2,"Crusader, Warrior","Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.","Marked by divine fervor, he fights not for glory but obedience. The celestial demands a weight he cannot shed.",2,"D, ?",Common,,,,,,,,,,,
Young Monk,Divine,2,Human,Deploy: Choose one: - Gain Ascend. - Draw a Card.,"From trials, we reach the heavens.",1,"D, ?, ?",Common,,,,,,,,,,,
Fancy Schmancy Byrrd Type,Divine,1,"Angel, Animal",Deploy: Cleanse an adjacent Unit then swap it with a friendly Angel or Animal Unit.,,,,Rare,,,,,,,,,,,
Golden Phoenix,Divine Elemental,2,Animal Spirit,Start of your Turn: You may bury a friendly Crystal to draw a Card.,"Each rebirth a brilliant flame, it embodies the cycle of life's undying light.",7,"D, D, E, E, ?",Rare,,,,,,,,,,,
Hailstorm Seraph,Divine Elemental,2,Angel Wizard,Deploy: Unleash <E><E>: Draw Cards until you have 3 Cards in your Hand.,"With each beat of her wings, a blizzard is born, cloaking the land in a shroud of white.",4,"D, ?, ?, ?",Uncommon,,,,,,,,,,,
Scittering Scorpion,Divine Elemental,0,Animal Hunter,"Ambush: This Turn, a Unit was deployed in this Lane. Unearth: You may unearth an adjacent Unit.","The deserter sought refuge in the solitude of the sands, only to find himself the quarry of a malevolence as ancient as the dunes.",4,"D, E, ?, ?, ?",Uncommon,,,,,,,,,,,
Wrath of the Pharaoh,Divine,1,Construct Spirit,,"From ancient tombs, a fury rises; even kings have their reckoning.",9,"D, D, D, ?, ?, ?",Uncommon,"sand dune with eyes, living sand dune, amorphous, glowing eyes, rising from the desert, sandstorm--no fire human humanoid",https://alpha.midjourney.com/jobs/557ea44c-dc30-4519-93c0-96caf2f97815?index=3,,,,,,,,,
Bringer of Good News,Divine,1,Angel Insect,"Whenever a Unit moves or swaps, gain +2 Power. Ally of Insect: You may move an adjacent friendly Unit.",,2,"D, ?",Rare,,,,,,,,,,,
Thunderswarm Lightning Rider,Divine Elemental,2,Angel Spirit,Deploy: Gain Ward. Gain +1 Power for each other Spirit in this Lane.,"She is the conduit between realms, her wings beating in the rhythm of thunder. Each bolt of lightning, a spirit's final descent, a luminous tribute to lives once lived.",6,"D, E, ?, ?, ?",Uncommon,,,,,,,,,,,
Desertwind Relic Hunter,Divine Mortal,2,Human Hunter,Deploy: Unearth a Crystal to give a friendly Unit in this Lane +3 Power.,"Beneath the sun's relentless gaze, he realized: some powers were buried for a reason, their containment not loss, but salvation.",3,"D, M, ?, ?, ?",Uncommon,,,,,,,,,,,
Exemplar of Lunar Gleam,Divine Mortal,2,Spirit Warrior,Start of your Turn: You may bury this to draw the top Mortal Card and the top Divine Card from your Deck. Shuffle your Deck.,"A spectral figure in the pale moonlight, his silent claim to the throne is as enigmatic as the night itself",4,"D, M, ?",Rare,,,,,,,,,,,
Grenade Apple Dragon #3,Divine,1,Dragon Plant,,,2,D,Common,,,,,,,,,,,
The Embalmer,Divine,1,Human Wizard,Ally of Angel: Unearth a Unit and give it Ward. Ally of Demon: Cleanse a Unit and bury it.,,2,"D, D, D, ?",Rare,,,,,,,,,,,
Ushabti Carver,Divine,1,Human Undead,"Deploy: Cards in your hand gain ""Crystallize: You may bury this to draw 2 Cards."" until end of turn.",,3,"D, D, ?",Rare,,,,,,,,,,,
Shattercrown Luminary,Divine Mortal,2,Angel Spirit,"Deploy: Glimpse 3. You may reveal the top Card of your Deck. If it's a Common Card, draw it.","From the humblest depths, she reveals unseen potential.",3,"D, M, ?, ?",Uncommon,,,,,,,,,,,
Shepard of the Morning Dew,Divine Mortal,2,Angel,"Deploy: Gain Taunt. If you are trailing in Lanes, a friendly Human Unit in this Lane gains +3 Power.","Humans, so small yet so vast in spirit, their survival against all odds a testament to their enduring hope. Almost inspiring, in a way.",3,"D, M, ?, ?",Uncommon,,,,,,,,,,,
Arboreal Messenger,Divine Nature,2,Angel Plant,Ally of Angel or Plant: Draw a Card and gain +2 Power.,"In my slumber, the forest whispered to me, weaving itself into my essence. When I opened my eyes again, I had become more.",3,"D, N, ?",Uncommon,,,,,,,,,,,
Auric Ant Regent,Divine Nature,2,Insect Wizard,Deploy: Gain Taunt. You may return an adjacent friendly Insect Unit to your Hand to gain Power equal to its Power.,"Insects, Bounce",6,"D, N, N, ?, ?, ?",Rare,,,,,,,,,,,
Blessing Bestower,Divine,1,Angel Wizard,,,2,D,Common,,,,,,,,,,,
Obelisk Waypost,Divine Nature,2,Construct Plant,"Start of your Turn: You may bury this to glimpse 2, to crystallize the top Card of your Deck and to draw a Card.","Without a guide, the desert is a death sentence.",4,"D, N, ?, ?, ?",Uncommon,,,,,,,,,,,
Crimson Flamechick,Divine Elemental,1,Animal Spirit,"When this gets buried, bury an adjacent enemy Unit.","A spark today, an inferno tomorrow; its flame never extinguished, merely reborn.",2,"D, E",Uncommon,"crimson flamechick, tiny cute little phoenix, burning wings, small bird, tiny bird--no fire human humanoid",https://alpha.midjourney.com/jobs/0867635b-b993-4e89-adc9-840fac5e98ae?index=2,,,,,,,,,
The Ascended One,Divine Nature,2,Construct Dinosaur,Crystallize: Gain Crystalborn. A friendly Unit gains Ascend this Turn.,Ascend,5,"D, D, N, N, ?, ?",Rare,,,,,,,,,,,
Tranquil Herd Rubyskull,Divine Nature,2,Dinosaur,Crystallize: Gain Crystalborn. Unleash <D><D> or <N><N>: Crystallize the top Card of your Deck.,Unleash,3,"D, N, ?",Uncommon,,,,,,,,,,,
Blackwing Usurper,Divine Void,2,Human Hunter,Deploy: Gain Taunt. Ritual: Gain 3 Power. Ritual: Draw a Card.,"With a noble's grace and a traitor's heart, he delves into the depths of celestial betrayal.",4,"D, V, V, ?, ?",Uncommon,,,,,,,,,,,
Thunderswarm Celestial,Divine Elemental,1,Angel Bannerbearer Warrior,,"Whenever he flaps his wings, muted thunder rumbles, and soft arcs of electricity dance around his form.",2,"D, E",Common,"thunderswarm celestial, norse angel, broad shoulders, red beard, from the front",https://alpha.midjourney.com/jobs/496903ec-9e29-4e96-baed-fbc1c72e67a2?index=3,,,,,,,,,
The Second Wing,Divine Elemental,1,Angel Dragon,Deploy: Each Player shuffles their Hand into the Deck and draws that many Cards.,"When all seems lost, it descends, a majestic force reviving spirits and rewriting destinies.",5,"D, D, E, ?, ?",Rare,"four wings, nordic dragon, antlers, gleaming white, glowing corona, ephemeral dragon, feathered wings, white scales, majestic, clinging to a spire high over a roman city, sun rising behind him",https://alpha.midjourney.com/jobs/f92d2267-2cb6-459f-b8f4-07c280426a32?index=2,,,,,,,,,
Ivoryscar Fatebreaker,Divine Void,2,Spirit,Deploy: Gain Ward. Choose one: - Cleanse an adjacent Unit. - Return an adjacent Unit to its Owner's Hand.,"My mission is one of compassion. I exist to end the agony of the mortally stricken, by guard or by gentle release.",6,"D, D, V, V, ?, ?",Uncommon,,,,,,,,,,,
Moon Priestess,Divine Mortal,1,Human Wizard,Deploy: Choose one: - Cleanse a Unit in this Lane. - Unearth a Unit in this Lane and give it +2 Power.,"Bathed in moonlight, her healing touch mends more than flesh; it soothes the soul.",3,"D, M, ?, ?",Uncommon,ancient greek moon priestess--no fire human humanoid,https://alpha.midjourney.com/jobs/fe304cba-fe68-4bea-a089-694d2e71a394?index=2,,,,,,,,,
Airstep Sifu,Elemental,2,Human,Ally of Spirit: Draw a Card and gain +2 Power.,"With every step, a choice: draw from the well of knowledge or the wellspring of power.",2,"E, ?, ?",Common,,,,,,,,,,,
Moonspear Paladin,Divine Mortal,1,Bannerbearer Spirit Warrior,,"A stalwart knight with divine blessings, who draws strength and guidance from the moon.",2,"D, M",Common,"moonspear paladin, pull plate armor, blue glazed armor, full helmet, glowing mist rising from armor joints, mystic, mysterious, in snowed in ruins of an old chapel, evening, golden hour, spear, tower-shield",https://alpha.midjourney.com/jobs/4b963210-17ec-4cc9-9a83-f38a7692af0e?index=3,,,,,,,,,
Arcanum Grandmaster,Elemental,2,Human Wizard,Deploy: Gains +2 Power for each other friendly Wizard Unit.,"Under his watchful eye, talent flourishes; he is the guiding force behind a century of magical mastery.",4,"E, ?, ?, ?, ?",Uncommon,,,,,,,,,,,
Auraborne Wyvern,Elemental,2,Dragon,Deploy: Unleash <E><E><E>: Gain Ward and glimpse 2.,"Turns out, the key to air superiority was just a few enchantments and one very grumpy wyvern.",3,"E, ?, ?",Common,,,,,,,,,,,
Blazecharm Kitsune,Elemental,2,Animal Spirit,Deploy: Move the top Card of your Opponent's Deck into an adjacent Slot and bury it (Deploy effects of that card are not triggered).,"With each flick of its tails, a new spark ignites, kindling mystic fires in the hearts of the brave.",2,E,Rare,,,,,,,,,,,
Glowing Gearhulk,Divine Mortal,1,Construct Warrior,"Deploy: Gain Taunt. Crystallize: If your Opponent conquered a Lane last Turn, you may deploy this.",??? Deploy from not-hand ???,4,"M, M, ?, ?, ?",Rare,"glowing gearhulk, medieval warmech, mecha, war machine, blue glazed armor, big claws, glowing mist rising from armor joints, mystic, mysterious, in snowed in ruins of an old cathedral, evening, golden hour",https://alpha.midjourney.com/jobs/4efd2e1b-a113-49a0-8b09-a71768bc7f0a?index=1,,,,,,,,,
Boiling Blood Berserker,Elemental,2,Human Warrior,Deploy: Gain Fear. Ascend: Dragon.,"His battle cry, a dragon's fury given voice.",3,"E, ?, ?",Common,,,,,,,,,,,
Goat Oracle,Divine Nature,1,Animal Wizard,Deploy: Glimpse equal to the number of Realms of friendly Crystals.,"Oracle of many realms, seer of countless fates, yet inexplicably unsettled by the mere thought of turtles.",3,"D, N, ?, ?",Uncommon,"ancient greek goat oracle, animal, on all fours",https://alpha.midjourney.com/jobs/96dd861b-6cf4-403c-b701-35339b8bf72c?index=0,,,,,,,,,
Tranquil Herd Sagehorn,Divine Nature,1,Bannerbearer Dinosaur Wizard,,"From ancient lands and Crystalline veins, this wise behemoth channels the arcane.",2,"D, N",Common,"Tranquil Herd Sagehorn, old dinosaur, wise, banner bearer",https://alpha.midjourney.com/jobs/eb74e363-ce23-4333-bf1a-9e45b5410528?index=3,https://alpha.midjourney.com/jobs/ae7c802d-5bb3-4e5c-935f-0989f835981b?index=3,https://alpha.midjourney.com/jobs/d2520d33-6384-48e1-a0ac-2b40bcba9c67?index=2,,,,,,,
Sunblessed Crocodile,Divine Nature,1,Animal Dinosaur,Crystallize: Gain Crystalborn. Deploy: Gains +1 Power for each friendly Crystal.,"Though tempered by the ages, his radiant might remains unbridled; a true testament of enduring power.",0,"D, D, N, N, ?",Rare,"sunblessed crocodile, white scales, desert, ancient egyptian, golden armor, animal, on all fours, sunbasking, green palmtrees, aggressive",https://alpha.midjourney.com/jobs/85566897-5ef8-42df-8c72-36628a9dd9fc?index=1,,,,,,,,,
Kois of Duality,Divine Void,1,Animal Spirit,Deploy: Choose one: - Adjacent friendly Void Units gain +2 Power. - Adjacent friendly Divine Units gain +2 Power.,"Swimming through the celestial rift, it harmonizes the contrasting forces of divinity and abyss.",3,"D, V, ?",Uncommon,"kois of duality,two kois swimming in a circle, shaped like ying and yang, shadowy maelstrom in background",https://alpha.midjourney.com/jobs/e799950f-85b6-4223-b8ea-bc9ef93d3c23?index=1,https://alpha.midjourney.com/jobs/957a1f61-1c1b-4a33-82ab-c17bcc78d8f9?index=1,https://alpha.midjourney.com/jobs/957a1f61-1c1b-4a33-82ab-c17bcc78d8f9?index=0,https://alpha.midjourney.com/jobs/a05bda9e-586e-49de-8c32-0f6e47fd8831?index=2,https://alpha.midjourney.com/jobs/011a319f-3ec2-43a4-ae07-e31e88bbcfcf?index=2,https://alpha.midjourney.com/jobs/34302934-0ce2-4d12-9b6b-bcbfb2dd2748?index=0,https://alpha.midjourney.com/jobs/7515835a-18c0-492f-95bd-2b1b2539a4df?index=1,,,
